시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,일광면 동백리,219-2,,,,,,주거용 > 단독주택 > 단독주택,0,79.42,79.42,0,1,1994-04-20,,1994-08-22,단독주택
부산광역시,기장군,기장읍 대라리,500-5,,,,,,주거용 > 단독주택 > 단독주택,160,83.34,83.34,0,1,1987-04-03,1987-04-10,1987-06-27,단독주택
부산광역시,기장군,일광면 이천리,506-2,,,,,,주거용 > 단독주택 > 단독주택,0,32.45,32.45,0,1,,,1949-03-10,단독주택
부산광역시,기장군,철마면 송정리,118,,,,,,주거용 > 단독주택 > 단독주택,954,69.52,69.52,0,1,,,1946,단독주택
부산광역시,기장군,철마면 웅천리,483-1,,,,,,주거용 > 단독주택 > 단독주택,0,66.15,66.15,0,1,,,1995-12-22,단독주택
부산광역시,기장군,일광면 동백리,223-2,,,,,,주거용 > 단독주택 > 단독주택,191.4,90.49,90.49,0,1,1998-04-27,1998-05-25,1998-07-22,단독주택
부산광역시,기장군,일광면 청광리,211,,,,,,주거용 > 단독주택 > 단독주택,284,121.64,121.64,0,1,1986-09-13,1986-10-06,1987-01-06,단독주택
부산광역시,기장군,일광면 동백리,220,,,,,,주거용 > 단독주택 > 단독주택,0,41.98,41.98,0,1,,,1970-04-01,단독주택
부산광역시,기장군,철마면 연구리,235-2,,,,성호원,주1동,주거용 > 단독주택 > 단독주택,367,117.82,158.04,0,2,1995-07-01,1995-08-07,1996-03-02,단독주택
부산광역시,기장군,기장읍 대변리,316-18,,,,,,주거용 > 단독주택 > 단독주택,0,0,52.89,0,1,,,,단독주택
부산광역시,기장군,기장읍 연화리,산 0,연화지구일단의주택지조성지구,6,12,,,주거용 > 단독주택 > 단독주택,275.4,103.6,373.26,1,2,1995-08-17,1995-11-01,1996-03-13,단독주택
부산광역시,기장군,일광면 동백리,224,,,,,,주거용 > 단독주택 > 단독주택,0,93.75,93.75,0,1,,,1971-10-05,단독주택
부산광역시,기장군,일광면 동백리,223-1,,,,,,주거용 > 단독주택 > 단독주택,0,94.72,122.02,0,2,1993-09-22,,1993-11-12,단독주택
부산광역시,기장군,일광면 동백리,225-1,,,,,,주거용 > 단독주택 > 단독주택,125.33,74.81,91.33,0,2,1994-12-03,,1995-05-10,단독주택
부산광역시,기장군,일광면 동백리,225-5,,,,,,주거용 > 단독주택 > 단독주택,0,129.88,129.88,0,1,,,1936-04-01,단독주택
부산광역시,기장군,일광면 동백리,225-6,,,,,,주거용 > 단독주택 > 단독주택,313.44,100.8,96.84,0,1,1996-12-06,,1996-12-30,단독주택
부산광역시,기장군,일광면 동백리,225-7,,,,,,주거용 > 단독주택 > 단독주택,0,44.23,44.23,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 동백리,226,,,,,,주거용 > 단독주택 > 단독주택,0,102.18,102.18,0,1,,,1976,단독주택
부산광역시,기장군,일광면 동백리,227,,,,,,주거용 > 단독주택 > 단독주택,0,119.35,167.4,0,2,,,198206,단독주택
부산광역시,기장군,일광면 동백리,227-1,,,,,,주거용 > 단독주택 > 단독주택,0,39.21,39.21,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 동백리,228-1,,,,,,주거용 > 단독주택 > 단독주택,0,26.08,26.08,0,1,,,1941-04-01,단독주택
부산광역시,기장군,기장읍 동부리,323,,,,,,주거용 > 단독주택 > 단독주택,0,33.06,33.06,0,1,,,1936,단독주택
부산광역시,기장군,일광면 동백리,230-1,,,,,,주거용 > 단독주택 > 단독주택,215.25,99.72,99.72,0,1,,,,단독주택
부산광역시,기장군,일광면 동백리,230-3,,,,,,주거용 > 단독주택 > 단독주택,184.16,49.5,49.5,0,1,2000-08-01,2000-08-04,2000-10-24,단독주택
부산광역시,기장군,일광면 동백리,230-5,,,,,,주거용 > 단독주택 > 단독주택,255,111.64,109.5,0,1,2001-02-28,2001-03-03,2001-05-22,단독주택
부산광역시,기장군,일광면 동백리,230-7,,,,,,주거용 > 단독주택 > 단독주택,62.31,35.35,70.7,0,2,1998-09-04,1998-09-28,1998-12-05,단독주택
부산광역시,기장군,일광면 동백리,233-1,,,,,,주거용 > 단독주택 > 단독주택,0,45.06,45.06,0,1,,,1965-07-26,단독주택
