소방서이름,상세주소,주소,y,x,위도,경도
정남진119안전센터,전라남도 장흥군 관산읍 관산우회로 103,전라남도 장흥군 관산읍 관산우회로 103,126.935381523,34.565235182,34.5600403,126.9372312
강진119안전센터,전라남도 강진군 군동면 중앙로 223,전라남도 강진군 군동면 중앙로 223,126.780879289,34.643288781,34.6432283266768,126.780926294304
성전119안전센터,전라남도 강진군 성전면 송학리 837-2,전라남도 강진군 성전면 송학리 837-2,,,34.6720729,126.7279432
해남119안전센터,전라남도 해남군 해남읍 교육청길 82,전라남도 해남군 해남읍 교육청길 82,126.607737658,34.566414802,34.5662175640549,126.607853586651
땅끝119안전센터,전라남도 해남군 송지면 미야길 237-3,전라남도 해남군 송지면 미야길 237-3,126.522196635,34.378083402,34.3846257,126.5169752
삼호119안전센터,전라남도 영암군 삼호읍 나불로 192,전라남도 영암군 삼호읍 나불로 192,126.439009136,34.766934495,34.7695466,126.4477722
영암119안전센터,전라남도 영암군 영암읍 월출로 46,전라남도 영암군 영암읍 월출로 46,126.686234555,34.798411625,34.8199205,126.6934778
신북119안전센터,전라남도 영암군 신북면 모산리 661-1,전라남도 영암군 신북면 모산리 661-1,,,34.895312106169,126.693878530703
무안119안전센터,전라남도 무안군 무안읍 공항로 133,전라남도 무안군 무안읍 공항로 133,126.466312373,34.994699665,35.0074151,126.4452769
일로119안전센터,전라남도 무안군 일로읍 삼일로 493-1,전라남도 무안군 일로읍 삼일로 493-1,126.490022762,34.851149546,34.850135,126.4888607
해제119안전센터,전라남도 무안군 해제면 현해로 1621,전라남도 무안군 해제면 현해로 1621,126.301070979,35.112414613,35.1112035,126.2953642
남악119안전센터,전라남도 무안군 삼향읍 남악5로72번길81-18,전라남도 무안군 삼향읍 남악5로72번길81-18,126.482493420,34.811516663,34.8115166660619,126.482507388054
함평119안전센터,전라남도 함평군 대동면 함장로 1202-93,전라남도 함평군 대동면 함장로 1202-93,126.530924651,35.052524560,35.0524626533358,126.531049119767
나산119안전센터,전라남도 함평군 나산면 함장로 2786,전라남도 함평군 나산면 함장로 2786,126.604528195,35.145430244,35.0981453,126.5813668
영광119안전센터,전라남도 영광군 영광읍 함영로 3508,전라남도 영광군 영광읍 함영로 3508,126.509074869,35.263208530,35.2647675,126.5097564
홍농119안전센터,전라남도 영광군 홍농읍 홍농로 543,전라남도 영광군 홍농읍 홍농로 543,126.449017736,35.402361726,35.3929609,126.4444453
장성119안전센터,전라남도 장성군 장성읍 단풍로 204,전라남도 장성군 장성읍 단풍로 204,126.799729850,35.320484492,35.3205866,126.7997562
삼계119안전센터,전라남도 장성군 삼계면 영장로 1632,전라남도 장성군 삼계면 영장로 1632,126.667262795,35.255058892,35.2548344,126.6698864
완도119안전센터,전라남도 완도군 완도읍 농공단지길 7,전라남도 완도군 완도읍 농공단지길 7,126.729596849,34.338632323,34.3394334,126.7381037
고금119안전센터,전라남도 완도군 고금면 고금동로 266,전라남도 완도군 고금면 고금동로 266,126.825305908,34.402879508,34.40158,126.83215
진도119안전센터,전라남도 진도군 진도대로 6945,전라남도 진도군 진도대로 6945,126.247278079,34.473023584,34.5582202,126.2963437
임회119안전센터,전라남도 진도군 임회면 십일시장길 34,전라남도 진도군 임회면 십일시장길 34,126.192926025,34.411992507,34.411989685031,126.192925478525
신안119안전센터,전라남도 신안군 암태면 단고리 973-6,전라남도 신안군 암태면 단고리 973-6,,,34.8251722261076,126.111706675795
지도119안전센터,전라남도 신안군 지도읍 해제지도로 1304,전라남도 신안군 지도읍 해제지도로 1304,126.204905683,35.058868325,35.0588619663096,126.204915527408
덕산119안전센터,경상북도 포항시 북구 중앙로 332,경상북도 포항시 북구 중앙로 332,129.366150127,36.042470108,36.0484407,129.3631031
두호119안전센터,경상북도 포항시 북구 삼호로 305,경상북도 포항시 북구 삼호로 305,129.382955639,36.064422801,36.0427183,129.3675923
흥해119안전센터,경상북도 포항시 북구 흥해읍 중성로 67,경상북도 포항시 북구 흥해읍 중성로 67,129.350481514,36.109190835,36.1087107,129.347747
장량119안전센터,경상북도 포항시 북구 법원로 158,경상북도 포항시 북구 법원로 158,129.387693210,36.088746117,36.0817098,129.3855184
기계119안전센터,경상북도 포항시 북구 기계면 기계로 371,경상북도 포항시 북구 기계면 기계로 371,129.182107101,36.084902080,36.080598,129.188954
일월119안전센터,경상북도 포항시 남구 동해안로 5890,경상북도 포항시 남구 동해안로 5890,129.418930873,35.993383371,35.9914379,129.4379353
해도119안전센터,경상북도 포항시 남구 중앙로 118,경상북도 포항시 남구 중앙로 118,129.368683928,36.023534252,36.0236569,129.3684629
제철119안전센터,경상북도 포항시 남구 철강로 360,경상북도 포항시 남구 철강로 360,129.378360339,35.978335696,35.9718138,129.3843381
